Image,Range_URL,Score_URL,Score,Range,Range1,Range2,ytcoreattributedstring,Range3
,https://www.youtube.com/channel/UCMPq4O2Qn93f7Hf9XVQ11Kg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxXrEnq7f-kTKpPOkZ4AaABAg,1 month ago,"It's crazy how far anime has come in terms animation during the passage of time, when you've got dedicated animators like these.","It's crazy how far anime has come in terms animation during the passage of time, when you've got dedicated animators like these.","
    828
  ",Reply,10 replies
,https://www.youtube.com/channel/UCeZKHnuWtol6mOt61t3hMzA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyVIpHCEWxKdpcvKld4AaABAg,1 month ago,米津さんが「原作の力が凄くて似つかわしい音を探していくのが難しかった」ってコメントしてたけど、常田さんのエッジの効いたアレンジの上で珍しく荒ぶって歌う米津さんが聞けた事が、この作品に携わったからこそ見れた''米津玄師''のドスの効いた一面って感じがして、色んなところで化学反応が起きてるのが凄く凄い(語彙死),,"
    315
  ",Reply,1 reply
,https://www.youtube.com/channel/UCpTWfeMpFmpt90Iw37tivXg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyeqOzFbYNyxoC94_l4AaABAg,1 month ago,"Mappa is on a different level To all the animators who put so much hardwork,day and night into making this as amazing as possible,Thank-You.",Mappa is on a different level ,"
    188
  ",Reply,1 reply
,https://www.youtube.com/channel/UCf28PIaUpUTjYpua_qvFAHw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwM4U7FaQSTHC-I54V4AaABAg,1 month ago,the fact it perfectly matches the manga it makes it even more perfect,,"
    111
  ",Reply,1 reply
,https://www.youtube.com/channel/UC0ddmbU7HOZcU2q88lMNB8Q,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyzJJPGD6v23xdnV6p4AaABAg,1 month ago,"Que estúdio competente esse MAPPA, parabéns, qualquer anime fica bom com vocês !! Que qualidade nos detalhes, fantástico!! Faz SOLO LEVELING por favor.",,"
    27
  ",Reply,2 replies
,https://www.youtube.com/channel/UCSNcOPiVm5jVwnY5yRvcEvg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzAtaoiHLFisA5EJB14AaABAg,1 month ago,I can't stop laughing about the fact that the voice actor for Denji did such a kick ass job at expressing so much emotion when he was yelling about how he hasn't felt some boobs yet,,"
    12K
  ",Reply,131 replies
,https://www.youtube.com/channel/UCRrTMgvV3qQ4wWDw9fPVFoA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugynli6RgS6H3dgsLy94AaABAg,1 month ago,"que animação lindaaaaaaa, e tá muito fiel ao mangá, to empolgado demais pra ver como tá essa maravilha.",,"
    72
  ",Reply,2 replies
https://yt3.ggpht.com/ytc/AMLnZu-2bzCicd7XTxw1i2FkZA5MYWXcfusJvm0nnJc1wbZ4sh_bL6TpzQjBvH7WefeJ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCbPdIbtkIubv9CYOrzZunfg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyNxb0bbsRYPaPm4bx4AaABAg,1 month ago,"I believe that this will be the best anime series of 2022. I can't wait for it to air, and after seeing the trailer, I have high hopes that Mappa won't disappoint.",,"
    130
  ",Reply,19 replies
https://yt3.ggpht.com/ytc/AMLnZu9v-jwKIxKdisqmczpV7EzLFj9CePlG8ogSmxAt=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCJ659xevAPGc4agnPxNObIw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzJN5bj8CGj9kr5Ur94AaABAg,1 month ago,チェンソーマンも米津玄師もマジでどっちも大好きだからまじでうれしすぎる！！！！,,"
    189
  ",Reply,
https://yt3.ggpht.com/YI-MXPao4sEbLGYQk6kDNEBNaDh9ZfadYZ5FPFC1zYjIyJqWN7f7UWctNMWCXolUyT8ltekrjA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCEJJKa6j8dTLgbW_egTC3lg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwuNh3MJdItnZNHJFJ4AaABAg,1 month ago,"That split second of kobeni screaming already has that much detail in animation. Full result is gonna be insane

I can't wait when this starts airing alongside bleach  totally the best year for anime fans",That split second of kobeni screaming already has that much detail in animation. Full result is gonna be insane,"
    84
  ",Reply,1 reply
https://yt3.ggpht.com/ytc/AMLnZu9mzQrSYf591fuVBpfNY3u5YRY706gor7VwxNeF=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCG1MPjME9mawlwyjvAM87xQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwGpgbjaZA0y1Kud5B4AaABAg,1 month ago,let’s give a round of applause to the animators who’ve worked hard on this show. ,let’s give a round of applause to the animators who’ve worked hard on this show. ,"
    4.7K
  ",Reply,39 replies
https://yt3.ggpht.com/IjQRHRmQC-8HtJyeJftddNVQmygItMuOuJ1ZoRBlh3YVBZoRRXOlUXN532S9SxCKqQyIGem4bGo=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXR6vqSXPgZc9inasatCFlw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugyc_fBOHIXJ0jWETe14AaABAg,1 month ago,"EU TÔ LOUCA POR ESSE ANIME,ESPEREI TANTO TEMPO PRA VÊ ISSO ACONTECENDO!!",,"
    39
  ",Reply,1 reply
https://yt3.ggpht.com/vpxao2Pj34rB0ib90P5as9ooF80VbP_h9f2o9yBo7Iy-ZoxUr0GKmfAsBg9M_jy1kxtP1M77TTc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UClMpL_AOtb3ucaauyF_QalQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxnDlR-sT9gk8b5qtV4AaABAg,3 weeks ago,Absolutely in love with this anime. Please keep the good work up.️,Absolutely in love with this anime. Please keep the good work up.,"
    9
  ",Reply,
https://yt3.ggpht.com/ytc/AMLnZu8_hteG_vKT7wylnypgvNRqbaI5ppZBl0JxYw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCMTpmTeLIuwEpkysG7SXOgw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugwm4aUX-Og2SX2fK2x4AaABAg,1 month ago,ライブでkickback聴けたけどめっちゃよかったよ,,"
    26
  ",Reply,1 reply
,https://www.youtube.com/channel/UCmvuFK5Ffm4c9GEcWqJ5PBw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwCWaOw5px5nOj6ZXJ4AaABAg,1 month ago,Everything about it is perfect exactly what I imagined along with the voice actors they fit each character well,,"
    22
  ",Reply,
,https://www.youtube.com/channel/UCzbUpANnV2NuM4ro2ro3qCA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugy2M1gm1Juf_oQpFo14AaABAg,1 month ago,"原作を毎週楽しみにしていた私からしたら
本当に感動したし夢を見ているような気分でした…CGも凄いカッコいいし
賛否両論ありますが、この作品が大好きです🥹",原作を毎週楽しみにしていた私からしたら,"
    19
  ",Reply,
,https://www.youtube.com/channel/UCvRrPthZkKZjLN-O8iHMOPQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugw7sWrlHUerbs_KfWx4AaABAg,1 month ago,"Top demais, já quero assistir ","Top demais, já quero assistir ","
    20
  ",Reply,
,https://www.youtube.com/channel/UChpBlGqQB1tIQeE1j2vmiNA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxSZj0akCGL4Zn3_bB4AaABAg,3 weeks ago,声優さん目的で観始めたけどやばいハマった……。何だこのアニメ何だこの作品……。近いうちに単行本買う世界線見えてきたんだけど…。曲も良曲すぎるし色々と良すぎて鳥肌全開でハゲた。,,"
    21
  ",Reply,1 reply
,https://www.youtube.com/channel/UCbQZRk5ElFSX9txQLqeQxAg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyMie9uD0SeG6SdiVl4AaABAg,1 month ago,"Goosebumps , The voice acting was ","Goosebumps , The voice acting was ","
    25
  ",Reply,
,https://www.youtube.com/channel/UC4ncOWd5xX5oJHV1ggm4uFw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzGDmcK10TycWy5sKl4AaABAg,1 month ago,Esse anime promete ️🇧🇷️,Esse anime promete ,"
    43
  ",Reply,2 replies
,https://www.youtube.com/channel/UC3ZJnu36V66hedkQzhsbqsg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzG8bAPmAT6GPNKsnR4AaABAg,1 month ago,"放送前にPVが1230万再生されるアニメって前代未聞じゃね
放送始まったら一気に人気爆発しそう",放送前にPVが1230万再生されるアニメって前代未聞じゃね,"
    22
  ",Reply,1 reply
,https://www.youtube.com/channel/UC88Me2LTnubosX3NloChuEA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzyKIlS4_6xoUZnY8h4AaABAg,1 month ago,"As a manga reader, watching this after the manga isn’t even going to take away from the experience- this already looks like such a masterpiece.",,"
    4.1K
  ",Reply,40 replies
,https://www.youtube.com/channel/UC0u6V3C7VtDgZjdtYaT81Xw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxPRASe8DLVjOnPIUN4AaABAg,1 month ago (edited),"Simplemente Hermoso el Opening, Animacion Todooooo ","Simplemente Hermoso el Opening, Animacion Todooooo ","
    25
  ",Reply,
,https://www.youtube.com/channel/UC-_owfFMCXF9t1ea5ADsWLw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyKd4zrUNl3MJ623qB4AaABAg,1 month ago,アニメ始まるまでに楽しみすぎて毎日見るのが日課になってきてる,,"
    45
  ",Reply,2 replies
,https://www.youtube.com/channel/UC_9jV1fyu8hFj8uiDvH0uXg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyP2ege5PDMg_V9Bvd4AaABAg,1 month ago,映画並みの迫力で鳥肌止まらない,,"
    21
  ",Reply,
,https://www.youtube.com/channel/UCEBwX_nr6mqYaoE-Hohs5SA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugyn78UAxPxWjt7gNTF4AaABAg,1 month ago,El mejor anime ya falta poco para su estreno,,"
    71
  ",Reply,5 replies
,https://www.youtube.com/channel/UCZDBM53UU_6Fg4ZEEWG-zpg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwtinjfPKY-CTCQynB4AaABAg,1 month ago,Opの米津さんの声色さ、チェーンソーみたいにビリビリしててめっちゃ好きやわ。,,"
    29
  ",Reply,
https://yt3.ggpht.com/n_i1t0fTJH6CDPTiy3AUoDnTEb4lvZvUjDYSD4slsPq-1cH28pf9Atb20c6RERB_7DKBwHp8qA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCuv88UkVFgZvYyDzwOfBC7A,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugy6iVlw9zwnwqIEh4p4AaABAg,1 month ago,i love the fact that jujutsu kaisen author and chainsaw man author are besties and both of their mangas are freakin animated by MAPPA. that's friendship goals right there. i'm sooo happy for the both of them. ,i love the fact that jujutsu kaisen author and chainsaw man author are besties and both of their mangas are freakin animated by MAPPA. that's friendship goals right there. i'm sooo happy for the both of them. ,"
    3.9K
  ",Reply,36 replies
https://yt3.ggpht.com/qbKn5o22tNRvb2YcpVC8KeyFuEfrAJWHYTp9kb9doRiglNsTS6HmXCoIEKaxkwMbMvSGTYnmrg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCa6Oplj9Pk-8twdgHvLpQww,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyPRPUtPu51Ia-Kb3B4AaABAg,1 month ago,The fact that Chainsaw Man will have 12 ED is literally insane.,,"
    59
  ",Reply,
https://yt3.ggpht.com/2pn-4y_iY8qRKOATiq3wlQeIqtwNQz7fKNlBuvGTg9zoiJZT7EkpCwAEHCeeTNyFefXLEQtPvQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC_-eKVB7YODKwStND6q49ww,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzdLVLO4j_imKmyafN4AaABAg,1 month ago,"つ○くさんのも米津さんのも ""努力 未来 a beautiful star""って歌詞を使いながら
表現が全然違う、なのにどっちも凄いのほんと天才だよな(語彙力)","つ○くさんのも米津さんのも ""努力 未来 a beautiful star""って歌詞を使いながら","
    48
  ",Reply,
https://yt3.ggpht.com/kOOd5Xqxkh487Fakm8FyY2wOeunp30NrPqT-nQrGmjBgUasahbhW9nJpPlRA-5VRctIVN8d0Lw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5-VpS64dPdBxnsaa-DA0ig,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzJVc0zya7ENp6mS0N4AaABAg,1 month ago,米津玄師は解釈の悪魔。しかも米津玄師の解釈は皆から恐れられているから強キャラ確定演出きてる。,,"
    41
  ",Reply,1 reply
,https://www.youtube.com/channel/UCQHXQR_72QnVJHHjOPmMdzw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxihSgbKl63MmFgs8R4AaABAg,1 month ago,Just finished reading the manga. This is gonna be an excellent anime especially with the animation.,,"
    46
  ",Reply,2 replies
,https://www.youtube.com/channel/UCYoKYuL8yUUBvoegBWDLHSA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugwh9dIL03lwRO87FDF4AaABAg,1 month ago,チェンソーマンくそ好きで先日米津さんのライブでkick Back聞いたけどこれ伝説だった,,"
    60
  ",Reply,3 replies
,https://www.youtube.com/channel/UCqLtUMmXyCSMPCuS0E8Rcbw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwdfVuSLCrUoYs9Ag14AaABAg,1 month ago,ED毎回違うの革命すぎだし、大御所というか大アーティストだらけだし、もうアニメの期待値上がりすぎててホント好き,,"
    617
  ",Reply,8 replies
,https://www.youtube.com/channel/UCRA8cCbuCrxOHmyH3HAWcZA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwB43Hmg-RpODVMWL54AaABAg,1 month ago,"1000万再生おめでとう！
アニメ楽しみや",1000万再生おめでとう！,"
    19
  ",Reply,3 replies
,https://www.youtube.com/channel/UCoVSnbHLnMAHOXMDzisAXNw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwHoHOTcFFse1A__fB4AaABAg,1 month ago,"このPVが公開されて数週間経つのに再生回数1000万超えてるのが凄い！
作画も戦闘シーンもOPも全部！これは期待するしかないって思った！
後パワーの声優がファイルーズさんで正解だと思いました！",このPVが公開されて数週間経つのに再生回数1000万超えてるのが凄い！,"
    38
  ",Reply,
,https://www.youtube.com/channel/UCV4YIhfYUiGFzXrBPabNJ_Q,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugw8c98mLDBAKNrSboZ4AaABAg,4 weeks ago,今までチェンソーマンか〜流行ってるよな〜ってぐらいの認識しか無かったのに、アニメの1話見るなりすぐ原作買って完読した,,"
    15
  ",Reply,
,https://www.youtube.com/channel/UCLiM7trfB44BXKIMgAcOg3g,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyGFFWuUZmlct5x-Ph4AaABAg,1 month ago,ライブでKICK BACK聴いたけどめっちゃ良かった…アニメ楽しみすぎる,,"
    34
  ",Reply,
,https://www.youtube.com/channel/UChk-E_5OOvwjaHpTO6LuwRQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxfAVvxn1zRK6Hy2zV4AaABAg,5 days ago,5話が楽しみすぎる。水曜日を楽しみに毎日頑張ってます。タツキ先生、MAPPAさん本当にありがとう。,,"
    8
  ",Reply,
,https://www.youtube.com/channel/UCToHaS5TXia8PUV53P7XfkA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugz2dOeMrM-YfVqDooh4AaABAg,1 month ago,The action scenes look insane. Movie quality stuff. I don't think I've heard of a show with 12 different ending songs. One for each episode. I was also under the impression this was supposed to be a 2nd Cour anime but now I'm hearing it's only 12 episodes. Either way I'm hyped for this.,,"
    1.6K
  ",Reply,29 replies
,https://www.youtube.com/channel/UC7L_4cb0xslMYTccj-Pcexg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugwr9tpF49BEOtnDO3d4AaABAg,1 month ago,Realmente me gusta mucho el opening...,,"
    53
  ",Reply,
,https://www.youtube.com/channel/UC7JQ4pD9sVrfteVhlZ_Rs0Q,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxmIZYxd9NCfCtJ9xp4AaABAg,12 days ago,"Gracias Mappa por apostar al 100 % de CHAINSAW MAN , nunca pensé verlo animado y ni en sueños de la manera que lo están haciendo Chainsaw man esta siendo una locura Gracias Mappa ️🥹️","Gracias Mappa por apostar al 100 % de CHAINSAW MAN , nunca pensé verlo animado y ni en sueños de la manera que lo están haciendo Chainsaw man esta siendo una locura Gracias Mappa ","
    4
  ",Reply,
,https://www.youtube.com/channel/UC4lhaehPyITk5OrRmq6_BZg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzBF4xfYyyovGANt_V4AaABAg,1 month ago (edited),"デンジくんの最後の声の震えが秀逸
そして米津さんサイコー",デンジくんの最後の声の震えが秀逸,"
    18
  ",Reply,1 reply
,https://www.youtube.com/channel/UCeYO5oOgTn-eX--Ao4IDtGw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugxz4kjZDDnlZ08za_R4AaABAg,1 month ago,"MAPPA100%出資えぐ
OP米津×ミレパえぐ
毎週ED変わるのえぐ
伝説になるぞこれ、期待値高すぎ",MAPPA100%出資えぐ,"
    14
  ",Reply,2 replies
,https://www.youtube.com/channel/UCLgHI8eg3LsgUqI42045nlA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwNgAFh9yjQapy88gh4AaABAg,1 month ago,私は1話良かったと思ったけどな。こんなレベルばり高いアニメが毎週火曜見れるのは嬉しすぎ,,"
    16
  ",Reply,
,https://www.youtube.com/channel/UCtCUO5eV_VFJBccK_X2rnHA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwiPMO2o0YRccS-aHZ4AaABAg,1 month ago,"Imagine being in Tatsuki Fujimoto's shoes for a moment, and how he feels his work is being turned into THIS. What an incredible honor.",,"
    1.9K
  ",Reply,22 replies
,https://www.youtube.com/channel/UCoXwQyabhI18dBZt3PrW7nA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwWMoQewoeI13ee3194AaABAg,1 month ago (edited),米津さんのライブで一足先に聴いたんですけどまじやばいです…やばいです…めっっっちゃかっこいいです……(語彙),,"
    24
  ",Reply,2 replies
https://yt3.ggpht.com/ytc/AMLnZu9l0-_isP1Q49ZXyP-uXrCnWYLWyMz5_6BhhJZtGg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC3ZJnu36V66hedkQzhsbqsg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyAbxjC9ij-DFtVGU94AaABAg,1 month ago,"放送前からこんなにPV伸びてるアニメも初めてじゃないかな
注目度ヤバいね",放送前からこんなにPV伸びてるアニメも初めてじゃないかな,"
    26
  ",Reply,
https://yt3.ggpht.com/ytc/AMLnZu-sg2Hf7m0BX8Zfypu7CrTOviC0ou8pQOUAS0G7dyY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCYYDhEztaD3RJdC6x7zt3pA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzhuLjDAUUmh5ml_Tx4AaABAg,2 weeks ago,after finally catching up to the manga i let myself watch the trailer and HOLY CRAP THIS LOOKS INCREDIBLE,,"
    5
  ",Reply,
https://yt3.ggpht.com/uPUK44tY9nVbUNFUOca1Pg637UCN1k3vvJG1_sdERykRyVAv0ogQEDHg4QoZv-GL7f_RLYa8Ovw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCbzVZJjnZq-dAwj7QD48LkA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugwy1NFEOpimb7m8ueh4AaABAg,1 month ago,The anime is already hyped by everyone but can we talk about THE MUSIC. A different ed for every episode damn mappa really be going for it and kenshi yonezu!!!! My fav jpop artist doing the opening I am in love,,"
    37
  ",Reply,
https://yt3.ggpht.com/deUB1T729UM_lab36D41qdcP22mfgncN95Be4qa81TXvkivFuiKKfM1eHtheeXtZ9Snvc5_Vpdk=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCgBtP-C3ylmPkdTeCPKL1Tg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxkZAZheOdTLiMeQvd4AaABAg,1 month ago (edited),"PVだけでしかもまだ公開していないのに1000万回再生されるアニメってそうそうないぞｗｗｗ。
やっぱ、チェンソーマンのアニメ化はアニメ界の中では大きな一歩になるのかもな。",PVだけでしかもまだ公開していないのに1000万回再生されるアニメってそうそうないぞｗｗｗ。,"
    17
  ",Reply,
,https://www.youtube.com/channel/UCIHKDOAOfCPt_L7iKC_HrBg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxApIQYVdlSQM77zJ14AaABAg,1 month ago,Alot of manga readers don’t realise were only getting half the series this season. This looks absolutely perfect for what were about to see. Thank you Mappa,,"
    2K
  ",Reply,43 replies
,https://www.youtube.com/channel/UC3miCVdykZ4ZdLhyr3ueTaw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugyx7MOeqBhoOLZMFPB4AaABAg,1 month ago,"kick backをライブで聞いたけど一言も聞き取れなかった。
けどこれだけは言える神曲です。",kick backをライブで聞いたけど一言も聞き取れなかった。,"
    18
  ",Reply,1 reply
